,Aggregated,413,0,4,5.07367578657574,2.1224000956863165,48.39699994772673,18995.832929782082,6.9736903918316555,0.0,4,4,5,5,7,11,32,33,48,48,48
,Aggregated,820,0,4,7.001546340449372,1.7245999770238996,523.0398999992758,19004.3,13.843179607634509,0.0,4,4,5,5,8,15,41,54,520,520,520
,Aggregated,1233,0,4,12.820121169294966,1.6370000084862113,1029.3595000403002,19006.174371451743,20.803624040046085,0.0,4,5,7,8,12,17,32,530,1000,1000,1000
,Aggregated,1622,0,4,14.684027187329855,1.6324999742209911,1045.7817999413237,19006.64241676942,27.359951424869553,0.0,4,5,6,7,10,14,35,540,1000,1000,1000
,Aggregated,2027,0,4,16.188196348865826,2.004500012844801,1078.9292000699788,19003.9955599408,34.182282175822955,0.0,4,5,6,6,8,11,64,560,1100,1100,1100
,Aggregated,2392,0,4,20.34528181472728,1.8227000255137682,1585.44069994241,19006.545986622074,40.39790361709908,0.0,4,5,6,6,9,13,71,600,1600,1600,1600
,Aggregated,2835,0,4,19.177381164842732,1.6636999789625406,1579.032100038603,19004.57742504409,47.86440631681819,0.0,4,5,6,7,9,14,66,600,1600,1600,1600
,Aggregated,3226,0,4,22.074025976965267,1.7170000355690718,1598.6891000065953,19004.382517048976,54.46008214237171,0.0,4,5,6,6,9,13,82,1000,1600,1600,1600
,Aggregated,3632,0,4,23.653893337414768,1.680999994277954,2085.7565000187606,19002.580947136565,61.329040428723296,0.0,4,5,6,7,8,12,89,1100,1600,2100,2100
,Aggregated,4013,0,4,21.7513499631568,1.6881999326869845,1605.4033000255004,19000.895838524793,67.73675730720466,0.0,4,5,6,7,9,14,93,650,1600,1600,1600
